Date,Open,High,Low,Close,Volume
2014-02-19,600.4,602.35,596.51,597.29,4222900
2014-02-20,599.32,601.19,597.87,598.17,3414300
2014-02-21,601.65,602.68,599.17,598.01,3738500
2014-02-24,600.43,607.8,600.3,602.34,3361100
2014-02-25,605.7,609.96,602.95,606.06,2888100
2014-02-26,609.71,612.15,604.61,606.15,3979100
2014-02-27,606.92,609.83,606.23,605.67,2529400
2014-02-28,607.89,609.81,600.86,603.89,4644500
2014-03-03,601.12,601.66,593.84,597.46,4225300
2014-03-04,605.23,605.73,602.49,603.52,2946300
2014-03-05,605.26,609.26,603.44,605.19,2479700
2014-03-06,608.86,610.79,607.02,605.87,2545600
2014-03-07,611.11,611.2,603.46,603.46,3041500
2014-03-10,605.58,606.55,599.8,601.87,2438200
2014-03-11,604.62,604.89,596.09,596.11,3438800
2014-03-12,595.97,601.67,589.88,599.74,3943200
2014-03-13,601.72,602.99,590.17,590.69,4708600
2014-03-14,588.79,593.21,584.08,582.61,4604900
2014-03-17,587.42,596.3,586.86,592.2,4340300
2014-03-18,595.1,603.5,594.3,601.72,3643500
2014-03-19,603.64,603.73,594.97,595.75,3237800
2014-03-20,597.73,602.55,595.45,594.71,3381900
2014-03-21,600.9,602.56,589.02,587.7,6441000
2014-03-24,589.88,590.24,570.84,575.22,6096800
2014-03-25,580.82,582.74,571.36,575.62,4838400
2014-03-26,578.84,583.6,563.64,562.33,5179200
2014-03-27,566.44,566.44,551.41,555.41,13100
2014-03-28,559.66,564.88,557.14,556.93,41200
2014-03-31,565.34,565.45,555.41,553.93,10800
2014-04-01,557.18,566.89,557.18,564.06,7900
2014-04-02,598.35,603.17,560.65,563.9,147100
2014-04-03,568.29,585.67,562.59,566.62,5099100
2014-04-04,573.08,576.19,541.51,540.17,6369300
2014-04-07,539.26,546.98,525.71,535.21,4401600
2014-04-08,541.11,553.48,540.13,551.86,3151200
2014-04-09,558.09,563.82,551.44,561.06,3330800
2014-04-10,563.45,563.45,538.42,537.99,4036800
2014-04-11,531.09,538.52,525.09,527.7,3924800
2014-04-14,536.78,542.61,528.11,529.61,2575000
2014-04-15,535.35,536.98,517.04,533.51,3855000
2014-04-16,541.51,555.47,538.52,553.5,4893200
2014-04-17,547.31,548.0,529.7,533.17,6809500
2014-04-21,534.63,535.23,524.16,525.73,2566700
2014-04-22,527.19,535.76,526.07,531.89,2365300
2014-04-23,532.33,532.41,524.81,524.06,2052300
2014-04-24,528.62,530.19,520.69,522.29,1883100
2014-04-25,521.08,523.26,514.01,513.36,2100300
2014-04-28,515.76,517.18,501.42,514.32,3335500
